hour,tariff,pump_on,q_pump_m3h,pump_head_m,power_kW,energy_kWh,cost,tank_level_m,tank_head_m,q_p0_m3h,q_p1_m3h,q_p2_m3h,q_p3_m3h,q_p4_m3h,H_A_m,H_B_m,H_C_m,demand_A_m3h,demand_B_m3h,demand_C_m3h,demand_T_m3h
10,0.75,1,211.0562041510049,96.46228499899497,69.63543261677339,69.63543261677339,52.22657446258004,1.0377361595844605,102.03773615958445,211.0562041510049,110.40328842267498,60.903288422674976,100.65291572832992,84.55620415100489,106.12367761711306,105.26055496153108,103.84112027768182,0.0,49.5,77.0,0.0
11,0.75,1,205.0,97.88625,68.3948798076923,68.3948798076923,51.29615985576923,1.6014441872578264,102.60144418725783,205.0,106.85013660825422,59.600136608254225,98.14986339174578,84.25,107.5658097005283,106.74338256640448,105.37033377373551,0.0,47.25,73.5,0.0
12,0.75,1,205.28293429784372,97.81972507321949,68.45283606696358,68.45283606696358,51.33962705022269,2.163110853924495,103.1631108539245,205.28293429784372,106.97041370258495,59.72041370258495,98.31252059525877,84.53293429784372,107.49843604233494,106.67463133153302,105.29730125701543,0.0,47.25,73.5,0.0
13,0.75,1,205.0,97.88625,68.3948798076923,68.3948798076923,51.29615985576923,2.7266637492434533,103.72666374924346,205.0,105.87151408740988,60.871514087409885,99.12848591259012,90.0,107.5658097005283,106.75459108095055,105.33628740949881,0.0,45.0,70.0,0.0
14,0.75,1,203.87641715988713,98.12880344560938,68.18876495433122,68.18876495433122,51.141573715748414,3.3266637492434534,104.32666374924345,203.87641715988713,104.41524965366048,61.66524965366049,99.46116750622674,94.62641715988724,107.81149701446094,107.01695751348203,105.57040070130283,0.0,42.75,66.5,0.0
15,0.75,1,202.03942576427002,98.52536396313822,67.85177937693032,67.85177937693032,50.88883453269774,3.957506530309374,104.95750653030937,202.03942576427002,104.61295593685118,59.61295593685118,97.42646982741877,87.03942576426995,108.21318122108443,107.41637731917072,106.04287222050986,0.0,45.0,70.0,0.0
16,0.75,1,201.58459468932432,98.62355062144212,67.76834321453121,67.76834321453121,50.82625741089841,4.5377693687378375,105.53776936873784,201.58459468932432,107.35547203749833,55.60547203749833,94.22912265182609,69.33459468932442,108.31263648250982,107.48442156056309,106.25356347355903,0.0,51.75,80.5,0.0
17,1.1,0,0.0,0.0,0.0,0.0,0.0,5.0,106.0,0.0,32.43915267927884,-32.81084732072116,-32.43915267927884,-166.75,102.23970298361294,102.12798698021336,102.57904534045868,0.0,65.25,101.5,0.0
18,1.1,0,0.0,0.0,0.0,0.0,0.0,3.888333333333333,104.88833333333334,0.0,34.61063396165712,-35.13936603834288,-34.61063396165712,-178.25,100.66835007728064,100.54392696861035,101.04629083471383,0.0,69.75,108.5,0.0
19,1.1,0,0.0,0.0,0.0,0.0,0.0,2.6999999999999997,103.7,0.0,31.460530158434537,-31.539469841565463,-31.46053015843454,-161.0,100.1456693987555,100.03968011264037,100.46761659572121,0.0,63.0,98.0,0.0
20,1.1,0,0.0,0.0,0.0,0.0,0.0,1.6266666666666663,102.62666666666667,0.0,26.567417554213,-25.182582445787,-26.567417554213,-132.25,100.10216814113494,100.02481244144204,100.33713953870051,0.0,51.75,80.5,0.0
21,1.1,1,185.90093251626303,101.97847914398977,64.91766863071875,64.91766863071875,71.40943549379064,0.7449999999999998,101.745,185.90093251626303,96.77376158170308,54.023761581703084,89.12717093455994,76.65093251626303,111.71096826789415,111.00394946911047,109.82939261137945,0.0,42.75,66.5,0.0
22,0.35,1,208.59496265488687,97.04098440576972,69.13127192870782,69.13127192870782,24.195945175047736,1.2560062167750867,102.25600621677509,208.59496265488687,102.0063003010937,68.2563003010937,106.58866235379315,122.34496265488686,106.70976012656674,105.94281118607867,104.22069763594294,0.0,33.75,52.5,0.0
23,0.35,1,202.50410482885005,98.42505137007201,67.93702209676952,67.93702209676952,23.777957733869332,2.0716393011409995,103.071639301141,202.50410482885005,95.0058726987438,70.2558726987438,107.49823213010625,139.25410482885005,108.11157255713766,107.42480202348018,105.5908660533796,0.0,24.75,38.5,0.0
